,id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
163,1598812124,Under,281,4467718093,1.662,5.5,Brock Bowers (Receptions),Las Vegas Raiders,Pittsburgh Steelers
164,1598812168,Over,280,4467717963,1.552,1.5,Jaylen Warren (Receptions),Las Vegas Raiders,Pittsburgh Steelers
165,1598812169,Under,281,4467717964,2.46,1.5,Jaylen Warren (Receptions),Las Vegas Raiders,Pittsburgh Steelers
166,1598842400,Under,281,4467717950,1.729,3.5,Tre Tucker (Receptions),Las Vegas Raiders,Pittsburgh Steelers
167,1598842399,Over,280,4467717949,2.13,3.5,Tre Tucker (Receptions),Las Vegas Raiders,Pittsburgh Steelers
168,1598842402,Over,280,4467717881,2.3,2.5,DJ Turner (Receptions),Las Vegas Raiders,Pittsburgh Steelers
169,1598842403,Under,281,4467717882,1.628,2.5,DJ Turner (Receptions),Las Vegas Raiders,Pittsburgh Steelers
170,1598842422,Over,280,4467717889,1.606,1.5,Alexander Mattison (Receptions),Las Vegas Raiders,Pittsburgh Steelers
171,1598842423,Under,281,4467717890,2.34,1.5,Alexander Mattison (Receptions),Las Vegas Raiders,Pittsburgh Steelers
172,1598704432,Over,282,4467718667,1.719,5.5,Drake London (Receptions),Carolina Panthers,Atlanta Falcons
173,1598704433,Under,283,4467718668,2.14,5.5,Drake London (Receptions),Carolina Panthers,Atlanta Falcons
174,1598704590,Over,282,4467754323,2.07,5.5,Diontae Johnson (Receptions),Carolina Panthers,Atlanta Falcons
175,1598704591,Under,283,4467754324,1.769,5.5,Diontae Johnson (Receptions),Carolina Panthers,Atlanta Falcons
176,1598704608,Under,283,4466418783,1.775,4.5,Darnell Mooney (Receptions),Carolina Panthers,Atlanta Falcons
177,1598704607,Over,282,4466418782,2.06,4.5,Darnell Mooney (Receptions),Carolina Panthers,Atlanta Falcons
178,1598704614,Over,282,4467712438,2.25,3.5,Kyle Pitts (Receptions),Carolina Panthers,Atlanta Falcons
179,1598704615,Under,283,4467712439,1.653,3.5,Kyle Pitts (Receptions),Carolina Panthers,Atlanta Falcons
180,1598704755,Over,284,4467666277,2.13,5.5,Jake Ferguson (Receptions),Dallas Cowboys,Detroit Lions
181,1598704756,Under,285,4467666278,1.729,5.5,Jake Ferguson (Receptions),Dallas Cowboys,Detroit Lions
182,1598705780,Over,282,4467668350,1.609,3.5,Ray-Ray McCloud III (Receptions),Carolina Panthers,Atlanta Falcons
183,1598705781,Under,283,4467668351,2.33,3.5,Ray-Ray McCloud III (Receptions),Carolina Panthers,Atlanta Falcons
184,1598705937,Over,284,4467706736,1.9,1.5,David Montgomery (Receptions),Dallas Cowboys,Detroit Lions
185,1598705938,Under,285,4467706737,1.917,1.5,David Montgomery (Receptions),Dallas Cowboys,Detroit Lions
186,1598705974,Over,284,4467666235,2.19,2.5,Rico Dowdle (Receptions),Dallas Cowboys,Detroit Lions
187,1598705975,Under,285,4467666236,1.684,2.5,Rico Dowdle (Receptions),Dallas Cowboys,Detroit Lions
188,1598705987,Over,284,4467744003,1.641,3.5,Jalen Tolbert (Receptions),Dallas Cowboys,Detroit Lions
189,1598705988,Under,285,4467744004,2.27,3.5,Jalen Tolbert (Receptions),Dallas Cowboys,Detroit Lions
190,1598705990,Over,284,4467668065,1.68,6.5,Amon-Ra St. Brown (Receptions),Dallas Cowboys,Detroit Lions
191,1598705991,Under,285,4467668066,2.21,6.5,Amon-Ra St. Brown (Receptions),Dallas Cowboys,Detroit Lions
192,1598705993,Over,284,4467734168,1.689,6.5,CeeDee Lamb (Receptions),Dallas Cowboys,Detroit Lions
193,1598705994,Under,285,4467734169,2.19,6.5,CeeDee Lamb (Receptions),Dallas Cowboys,Detroit Lions
194,1598705999,Over,284,4467713436,2.17,4.5,Sam LaPorta (Receptions),Dallas Cowboys,Detroit Lions
